tipo;codigo;nome;uf;ano;habitantes;area;codigoEstado
ESTADO;12;Acre;AC;2024;830018;164123.04;
ESTADO;27;Alagoas;AL;2024;3127683;27778.5;
ESTADO;16;Amapá;AP;2024;733759;142828.52;
ESTADO;13;Amazonas;AM;2024;3941613;1559146.88;
ESTADO;29;Bahia;BA;2024;14141626;564733.18;
ESTADO;23;Ceará;CE;2024;8794957;148920.47;
ESTADO;53;Distrito Federal;DF;2024;2817068;5760.78;
ESTADO;32;Espírito Santo;ES;2024;3833712;46095.58;
ESTADO;52;Goiás;GO;2024;7056495;340111.74;
ESTADO;21;Maranhão;MA;2024;6775805;329639.5;
ESTADO;51;Mato Grosso;MT;2024;3658649;903208.36;
ESTADO;50;Mato Grosso do Sul;MS;2024;2757013;357145.53;
ESTADO;31;Minas Gerais;MG;2024;20539989;586522.12;
ESTADO;15;Pará;PA;2024;8121025;1247954.66;
ESTADO;25;Paraíba;PB;2024;3974687;56469.78;
ESTADO;41;Paraná;PR;2024;11444380;199307.92;
ESTADO;26;Pernambuco;PE;2024;9058931;98311.61;
ESTADO;22;Piauí;PI;2024;3271199;251577.74;
ESTADO;33;Rio de Janeiro;RJ;2024;16055174;43780.17;
ESTADO;24;Rio Grande do Norte;RN;2024;3302729;52811.05;
ESTADO;43;Rio Grande do Sul;RS;2024;10882965;281730.22;
ESTADO;11;Rondônia;RO;2024;1581196;237590.54;
ESTADO;14;Roraima;RR;2024;636707;224300.5;
ESTADO;42;Santa Catarina;SC;2024;7610361;95736.17;
ESTADO;35;São Paulo;SP;2024;44411238;248222.36;
ESTADO;28;Sergipe;SE;2024;2209558;21915.11;
ESTADO;17;Tocantins;TO;2024;1511460;277720.52;
MUNICIPIO;1200401;Rio Branco;AC;2024;364756;8835.0;12
MUNICIPIO;1200203;Cruzeiro do Sul;AC;2024;91888;7925.0;12
MUNICIPIO;1200500;Sena Madureira;AC;2024;41349;25278.0;12
MUNICIPIO;1200609;Tarauacá;AC;2024;43151;15553.0;12
MUNICIPIO;1200302;Feijó;AC;2024;35426;24202.0;12
MUNICIPIO;2704302;Maceió;AL;2024;957916;509.0;27
MUNICIPIO;2700300;Arapiraca;AL;2024;234696;365.0;27
MUNICIPIO;2707701;Rio Largo;AL;2024;93776;299.0;27
MUNICIPIO;2706307;Palmeira dos Índios;AL;2024;71597;637.0;27
MUNICIPIO;2709301;União dos Palmares;AL;2024;59280;427.0;27
MUNICIPIO;1600303;Macapá;AP;2024;442933;6407.0;16
MUNICIPIO;1600600;Santana;AP;2024;107373;1577.0;16
MUNICIPIO;1600279;Laranjal do Jari;AP;2024;35114;30966.0;16
MUNICIPIO;1600501;Oiapoque;AP;2024;27482;22625.0;16
